company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
SMILES ON 35th,Seattle,WA,Seattle,Dental Practice,8,$1M-$2M,Rubecca Shahid,Owner/Dentist,N/A,N/A,https://www.smileson35th.com/
Espresso Dental,Seattle,WA,Seattle,Dental Practice,8,$1M-$2M,Connie M. Manuel,Owner/DDS,N/A,N/A,https://espressodental.com/
Northgate Smiles,Seattle,WA,Seattle,Dental Practice,10,$1M-$3M,Dr. Lu,Owner/Dentist,N/A,N/A,https://www.northgatesmiles.com/
Dental Care Seattle,Seattle,WA,Seattle,Dental Practice,8,$1M-$2M,Michael Mulick,Owner/Dentist,N/A,N/A,https://www.dentalcareseattle.com/
Floss Seattle,Seattle,WA,Seattle,Dental Practice,8,$1M-$2M,Dr. Pietsch,Owner/Dentist,N/A,N/A,https://www.flossseattle.com/
Highland West Dental Care,Austin,TX,Austin,Dental Practice,6,$800K-$1.5M,Dr. Pevzner,Owner/Dentist,N/A,N/A,https://www.highlandwestdentalcare.com/
South Austin Dental Associates,Austin,TX,Austin,Dental Practice,10,$1M-$3M,Dr. Matthysse,Owner/Dentist,N/A,N/A,https://southaustindentalassociates.com/
Smile Creations ATX,Austin,TX,Austin,Dental Practice,10,$1M-$3M,Matthew Heck,Owner/DDS,N/A,N/A,https://www.smilecreationsatx.com
Walden Dental,Austin,TX,Austin,Dental Practice,8,$1M-$2M,Dr. Frank,Owner/Dentist,N/A,N/A,https://www.waldendentaltx.com/
512 Smiles,Austin,TX,Austin,Dental Practice,12,$1.5M-$3M,Priya Meghpara,Owner/Dentist,N/A,N/A,https://512smiles.com/
Downtown Dental Associates,Portland,OR,Portland,Dental Practice,8,$1M-$2M,Jonathan Becker,Owner/Dentist,N/A,N/A,https://portlandor.dental/
RiverPlace Dental,Portland,OR,Portland,Dental Practice,6,$800K-$1.5M,Megan McInnis,Owner/Dentist,N/A,N/A,https://www.riverplacedds.com/
Wagner Dental Care,Portland,OR,Portland,Dental Practice,6,$800K-$1.5M,Robert Wagner,Owner/DMD,N/A,N/A,N/A
Portland Family Dentistry,Portland,OR,Portland,Dental Practice,8,$1M-$2M,Dr. Agee,Owner/Dentist,N/A,N/A,https://portlandfamilydentistry.com/
Bethany Family Dental,Portland,OR,Portland,Dental Practice,8,$1M-$2M,Dr. Austria,Owner/Dentist,N/A,N/A,https://bethanyfamilydental.com/
Dalton Hunt Dentistry,Raleigh,NC,Raleigh,Dental Practice,8,$1M-$2M,Dalton Carruthers Hunt,Owner/Dentist,N/A,N/A,https://www.daltonhuntdentistry.com/
Fusion Dental Care,Raleigh,NC,Raleigh,Dental Practice,10,$1M-$3M,Hoda Bassiri,Owner/Dentist,N/A,N/A,https://fusiondentalcare.com/
Ashley Lloyd DDS,Raleigh,NC,Raleigh,Dental Practice,6,$800K-$1.5M,Ashley Lloyd,Owner/DDS,N/A,N/A,https://www.drashleylloyd.com
Leesville Dental Care,Raleigh,NC,Raleigh,Dental Practice,6,$800K-$1.5M,Justin Russo,Owner/Dentist,N/A,N/A,N/A
Dental Architects of Millcreek,Salt Lake City,UT,Salt Lake City,Dental Practice,8,$1M-$2M,Scott Updyke,Owner/Dentist,N/A,N/A,https://www.dentalarchitectsofmillcreek.com/
Salt Lake Dental Clinic,Salt Lake City,UT,Salt Lake City,Dental Practice,8,$1M-$2M,Scott Elder,Owner/Dentist,N/A,N/A,https://www.slcdental.com/
Natural Smiles Dentistry,Salt Lake City,UT,Salt Lake City,Dental Practice,8,$1M-$2M,Thomas Brickey,Owner/DMD,N/A,N/A,https://www.naturalsmilesdentistry.com/
Avenues Dentistry,Salt Lake City,UT,Salt Lake City,Dental Practice,8,$1M-$2M,Paul Porter,Owner/Dentist,N/A,N/A,https://www.avenuesfamilydentist.com/
Thousand Oaks Dental,San Antonio,TX,San Antonio,Dental Practice,8,$1M-$2M,Dr. Thompson,Owner/Dentist,N/A,N/A,https://www.yoursanantoniodentists.com/
Smile Structure Dentistry,San Antonio,TX,San Antonio,Dental Practice,15,$2M-$4M,Adam Smith,Owner/DDS,N/A,N/A,https://www.smilestructure.com/
North Babcock Dental Care,San Antonio,TX,San Antonio,Dental Practice,8,$1M-$2M,Dr. Herod,Owner/Dentist,N/A,N/A,https://www.northbabcockdentalcare.com/
LV Smile Designers,Las Vegas,NV,Las Vegas,Dental Practice,8,$1M-$2M,Dr. Amy,Owner/Dentist,N/A,N/A,https://www.lvsmiledesigners.com/
Smile Mas Dental,Las Vegas,NV,Las Vegas,Dental Practice,8,$1M-$2M,Ben Abrams,Owner/Dentist,N/A,N/A,https://smilemasdental.com
Lone Mountain Dental,Las Vegas,NV,Las Vegas,Dental Practice,8,$1M-$2M,Dr. Godfrey,Owner/Dentist,N/A,N/A,https://lonemtndental.com/
Smiles Today Dental,Las Vegas,NV,Las Vegas,Dental Practice,8,$1M-$2M,Amar Kerio,Owner/Dentist,N/A,N/A,https://smilestodaydental.com/
Southern Smiles,Jacksonville,FL,Jacksonville,Dental Practice,8,$1M-$2M,Bethany Burton,Owner/Dentist,N/A,N/A,https://www.southernsmilesjax.com/
River City Dental,Jacksonville,FL,Jacksonville,Dental Practice,8,$1M-$2M,Leah Lovett,Owner/Dentist,N/A,N/A,https://www.rivercitydentaljax.com/
Vitalize Dental,Jacksonville,FL,Jacksonville,Dental Practice,8,$1M-$2M,Dr. Patel,Owner/Dentist,N/A,N/A,https://www.vitalizedentalfl.com/
Glow Medispa,Seattle,WA,Seattle,Med Spa / Aesthetics,10,$1M-$3M,Kate Dee,Owner/Physician,N/A,N/A,https://glowspaseattle.com/
Blue Haven Medical Spa,Seattle,WA,Seattle,Med Spa / Aesthetics,8,$1M-$2M,Benjamin Killey,Founder/Physician,N/A,N/A,https://www.bluehavenmedicalspa.com/
NuMe Aesthetics,Seattle,WA,Seattle,Med Spa / Aesthetics,8,$1M-$2M,Kevin Fung,Medical Director,N/A,N/A,https://numeaesthetics.com/
Seattle Aesthetics,Seattle,WA,Seattle,Med Spa / Aesthetics,6,$500K-$1.5M,Ronda Nelson,Founder,N/A,N/A,https://seattleaesthetics.com/
Glo Med Spa,Austin,TX,Austin,Med Spa / Aesthetics,8,$800K-$2M,Sherry Salehi,Owner/Manager,N/A,N/A,https://www.glomedspaaustin.com/
Bare Body Spa,Austin,TX,Austin,Med Spa / Aesthetics,6,$500K-$1.5M,Jeannette,Owner,N/A,N/A,https://www.barebodyspa.com/
